College Name
A C E ENGINEERING COLLEGE (AUTONOMOUS)
AAR MAHAVEER ENGINEERING COLLEGE
ABDULKALAM INST OF TECHNOLOGY AND SCI
AIZZA COLLEGE OF ENGG AND TECHNOLOGY
ANNAMACHARYA INST OF TECHNOLOGY AND SCI
ANU BOSE INSTT OF TECHNOLOGY Womens
ANURAG ENGINEERING COLLGE
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG)
ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE
AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE
AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE (University)
AVANTHI INST OF ENGG AND TECHNOLOGY
AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY
AVN INST OF ENGG TECHNOLOGY
AZAD COLLEGE OF ENGINEERING AND TECHNOLOGY
B V RAJU INSTITUTE OF TECHNOLOGY
BALAJI INSTITUTE OF TECHNOLOGY AND SCI
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY
BHARAT INSTITUTE OF TECHNOLOGY
BHASKAR ENGINEERING COLLEGE
BHOJREDDY ENGINEERING COLLEGE FOR WOMEN
BOMMA INST OF TECHNOLOGY AND SCI
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS
BRILLIANT INSTT OF ENGG AND TECHNOLOGY
BVRIT COLLEGE OF ENGINEERING FOR WOMEN
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS)
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY
CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI
CMR ENGG COLLEGE (AUTONOMOUS)
CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
CMR TECHNICAL CAMPUS (AUTONOMOUS)
CSI WESLEY INST OF TECHNOLOGY AND SCIENCES
CVR COLLEGE OF ENGINEERING
D R K COLLEGE OF ENGINEERING AND TECHNOLOGY
D R K INSTITUTE OF SCI AND TECHNOLOGY
DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH
DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY
DR VRK WOMENS COLL OF ENGG AND TECHNOLOGY
ELLENKI COLLGE OF ENGG AND TECHNOLOGY
G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI
GANAPATHI ENGINEERING COLLGE
GATE INSTITUTE OF TECHNOLOGYAND SCIENCES
GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS)
GLOBAL INST OF ENGINEERING AND TECHNOLOGY
GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH
GURUNANAK INST OF TECHNOLOGY
GURUNANAK INSTTECH CAMPUS
HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS)
HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS)
INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY
INSTITUTE OF AERONAUTICAL ENGINEERING
ISL ENGINEERING COLLEGE
J B INSTITUTE OF ENGG AND TECHNOLOGY
J N T U COLLEGE OF ENGINEERING SULTANPUR
J N T U COLLEGE OF ENGINEERING SULTANPUR - SELF FINANCE
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING
JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS
JNTU COLLEGE OF ENGG HYDERABAD
JNTU COLLEGE OF ENGG MANTHANI
JNTU COLLEGE OF ENGINEERING JAGITIAL
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE
JOGINPALLY B R ENGINEERING COLLEGE
JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI
K U COLLEGE OF ENGG KOTHAGUDEM
K U COLLEGE OF ENGG KOTHAGUDEM
KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI
